Date,Date Key,Day Name,Day Number,Day Short Name,Month Name,Month Number,Month Short Name,Month Year,Qtr Number,Qtr Year,Year
4/27/2013 0:00,41391,Saturday,7,Sat,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
5/2/2013 0:00,41396,Thursday,5,Thu,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/9/2013 0:00,41403,Thursday,5,Thu,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/17/2013 0:00,41411,Friday,6,Fri,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/18/2013 0:00,41412,Saturday,7,Sat,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/25/2013 0:00,41419,Saturday,7,Sat,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/28/2013 0:00,41422,Tuesday,3,Tue,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
6/13/2013 0:00,41438,Thursday,5,Thu,5-Jan-00,6,Jun,June 2013,2,"2, 2013",2013
6/22/2013 0:00,41447,Saturday,7,Sat,5-Jan-00,6,Jun,June 2013,2,"2, 2013",2013
6/24/2013 0:00,41449,Monday,2,Mon,5-Jan-00,6,Jun,June 2013,2,"2, 2013",2013
6/26/2013 0:00,41451,Wednesday,4,Wed,5-Jan-00,6,Jun,June 2013,2,"2, 2013",2013
7/1/2013 0:00,41456,Monday,2,Mon,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/20/2013 0:00,41475,Saturday,7,Sat,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/22/2013 0:00,41477,Monday,2,Mon,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
8/3/2013 0:00,41489,Saturday,7,Sat,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/9/2013 0:00,41495,Friday,6,Fri,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/21/2013 0:00,41507,Wednesday,4,Wed,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/23/2013 0:00,41509,Friday,6,Fri,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/29/2013 0:00,41515,Thursday,5,Thu,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/31/2013 0:00,41517,Saturday,7,Sat,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
9/5/2013 0:00,41522,Thursday,5,Thu,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/16/2013 0:00,41533,Monday,2,Mon,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
10/4/2013 0:00,41551,Friday,6,Fri,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/10/2013 0:00,41557,Thursday,5,Thu,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/11/2013 0:00,41558,Friday,6,Fri,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/18/2013 0:00,41565,Friday,6,Fri,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
1/10/2013 0:00,41284,Thursday,5,Thu,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
3/2/2013 0:00,41335,Saturday,7,Sat,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/5/2013 0:00,41338,Tuesday,3,Tue,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/29/2013 0:00,41362,Friday,6,Fri,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
5/14/2013 0:00,41408,Tuesday,3,Tue,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
5/21/2013 0:00,41415,Tuesday,3,Tue,4-Jan-00,5,May,May 2013,2,"2, 2013",2013
6/18/2013 0:00,41443,Tuesday,3,Tue,5-Jan-00,6,Jun,June 2013,2,"2, 2013",2013
7/12/2013 0:00,41467,Friday,6,Fri,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
8/1/2013 0:00,41487,Thursday,5,Thu,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/10/2013 0:00,41496,Saturday,7,Sat,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/17/2013 0:00,41503,Saturday,7,Sat,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/24/2013 0:00,41510,Saturday,7,Sat,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
9/2/2013 0:00,41519,Monday,2,Mon,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/11/2013 0:00,41528,Wednesday,4,Wed,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
10/3/2013 0:00,41550,Thursday,5,Thu,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/5/2013 0:00,41552,Saturday,7,Sat,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/8/2013 0:00,41555,Tuesday,3,Tue,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/9/2013 0:00,41556,Wednesday,4,Wed,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/16/2013 0:00,41563,Wednesday,4,Wed,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
